id,app,category,rating,review,date,helpful_votes,verified_purchase,device_type,app_version
1,Dovetail,research repository,2,It works for basic tasks but important workflows feel unfinished. (Dovetail review #1),2023-11-15,29,False,desktop,2.0.0
2,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #2),2023-10-26,47,True,,5.1.0
3,Dovetail,research repository,1,Several pain points keep me from recommending this release. (Dovetail review #3),2023-08-23,23,False,desktop,
4,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #4),2024-03-24,13,True,,3.1.2
5,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #5),2023-12-25,2,False,desktop,3.2.0
6,Maze,usability testing,2,It works for basic tasks but important workflows feel unfinished. (Maze review #6),2024-02-16,34,True,mobile,4.1.0
7,Miro,collaborative whiteboard,2,It works for basic tasks but important workflows feel unfinished. (Miro review #7),2024-01-09,37,True,desktop,3.2.0
8,Dovetail,research repository,3,"Mixed experience: useful in places, frustrating in others. (Dovetail review #8)",2023-08-03,21,True,mobile,2.1.0
9,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #9),2023-04-07,41,False,mobile,2.6.0
10,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #10),2023-11-12,14,True,mobile,5.2.0
11,Maze,usability testing,1,Several pain points keep me from recommending this release. (Maze review #11),2023-08-06,31,True,mobile,4.1.0
12,Maze,usability testing,4,Solid overall; a few rough edges but it fits my routine well. (Maze review #12),2023-12-02,44,True,mobile,4.1.0
13,Dovetail,research repository,3,"Mixed experience: useful in places, frustrating in others. (Dovetail review #13)",2023-12-19,17,False,desktop,2.1.0
14,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #14),2023-08-01,30,False,mobile,3.2.0
15,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #15),2023-07-04,24,False,mobile,
16,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #16),2023-01-23,35,False,mobile,3.1.2
17,Maze,usability testing,3,"Mixed experience: useful in places, frustrating in others. (Maze review #17)",2023-08-18,25,True,mobile,
18,Fieldkit,field research,5,Reliable and thoughtfully designed; this has become a daily tool. (Fieldkit review #18),2023-04-18,28,True,mobile,2.6.0
19,Lookback,user research,4,Solid overall; a few rough edges but it fits my routine well. (Lookback review #19),2023-06-24,6,True,desktop,
20,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #20),2023-07-13,9,True,tablet,2.5.3
21,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #21),2023-11-10,5,True,tablet,3.2.0
22,Lookback,user research,3,"Mixed experience: useful in places, frustrating in others. (Lookback review #22)",2023-04-23,42,True,mobile,5.3.1
23,Dovetail,research repository,4,Solid overall; a few rough edges but it fits my routine well. (Dovetail review #23),2023-05-17,27,False,mobile,2.0.0
24,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #24),2023-02-19,45,True,desktop,3.2.0
25,Fieldkit,field research,4,Solid overall; a few rough edges but it fits my routine well. (Fieldkit review #25),2023-03-19,13,False,mobile,2.5.0
26,Miro,collaborative whiteboard,5,Reliable and thoughtfully designed; this has become a daily tool. (Miro review #26),2023-07-17,13,True,,
